call_id,ticker,quarter,call_start,modeled_events,market_resolution_seconds,raw_T50_seconds,raw_T90_seconds,raw_lambda_per_second,raw_half_life_seconds,total_price_impact,model_r_squared,placebo_iterations,placebo_impact_percentile,anchor_status,call_start_source,transcript_source_url,market_provider,market_source_url,benchmark,measurement_flags
TSLA_Q3_2020,TSLA,Q3 2020,2020-10-21T17:30:00-04:00,13.0,60.0,60.0,120.0,0.015803427119588587,43.86056108682774,-0.001595312504206718,0.03536993032229274,20.0,90.0,primary_verified,https://ir.tesla.com/_flysystem/s3/sec/000156459020047108/tsla-8k_20201021-gen.pdf,https://www.marketbeat.com/earnings/reports/2020-10-21-tesla-inc-stock/,huggingface-ggaddam-finnhub-1m,https://huggingface.co/datasets/ggaddam/OHLCV-1m/blob/main/data/ohlcv_2020-10.parquet,QQQ,cumulative response reverses; cumulative response overshoots; exponential half-life below price resolution
TSLA_Q4_2020,TSLA,Q4 2020,2021-01-27T18:30:00-05:00,5.0,60.0,120.0,180.0,0.003543903132809927,195.5886361968239,-0.0073007550163662425,0.31439668571429735,20.0,75.0,primary_verified,https://ir.tesla.com/press-release/tesla-releases-fourth-quarter-and-full-year-2020-financial-results,https://www.marketbeat.com/earnings/reports/2021-1-27-tesla-inc-stock/,huggingface-ggaddam-finnhub-1m,https://huggingface.co/datasets/ggaddam/OHLCV-1m/blob/main/data/ohlcv_2021-01.parquet,QQQ,fewer than 10 modeled events; cumulative response reverses; cumulative response overshoots
TSLA_Q4_2021,TSLA,Q4 2021,2022-01-26T17:30:00-05:00,13.0,60.0,360.0,540.0,0.0020708912312045516,334.7096023757705,-0.004439240411647787,0.07342980759639506,20.0,60.0,primary_verified,https://ir.tesla.com/press-release/tesla-releases-fourth-quarter-and-full-year-2021-financial-results,https://www.marketbeat.com/earnings/reports/2022-1-26-tesla-inc-stock/,huggingface-ggaddam-finnhub-1m,https://huggingface.co/datasets/ggaddam/OHLCV-1m/blob/main/data/ohlcv_2022-01.parquet,QQQ,cumulative response reverses; cumulative response overshoots
TSLA_Q1_2022,TSLA,Q1 2022,2022-04-20T17:30:00-04:00,24.0,60.0,60.0,60.0,0.21666379399305025,3.1991832497042805,0.0006381562138310868,0.03338474936996694,20.0,40.0,primary_verified,https://ir.tesla.com/press-release/tesla-releases-first-quarter-2022-financial-results,https://www.marketbeat.com/earnings/reports/2022-4-20-tesla-inc-stock/,huggingface-ggaddam-finnhub-1m,https://huggingface.co/datasets/ggaddam/OHLCV-1m/blob/main/data/ohlcv_2022-04.parquet,QQQ,cumulative response reverses; cumulative response overshoots; exponential half-life below price resolution
TSLA_Q2_2022,TSLA,Q2 2022,2022-07-20T17:30:00-04:00,23.0,60.0,60.0,180.0,0.015647129228175412,44.29868063668904,0.0007612918527608003,0.06033991052252763,20.0,30.0,primary_verified,https://ir.tesla.com/press-release/tesla-releases-second-quarter-2022-financial-results,https://www.marketbeat.com/earnings/reports/2022-7-20-tesla-inc-stock/,huggingface-ggaddam-finnhub-1m,https://huggingface.co/datasets/ggaddam/OHLCV-1m/blob/main/data/ohlcv_2022-07.parquet,QQQ,cumulative response reverses; cumulative response overshoots; exponential half-life below price resolution
TSLA_Q3_2022,TSLA,Q3 2022,2022-10-19T17:30:00-04:00,10.0,60.0,240.0,540.0,0.003274491464758715,211.680863431727,-0.004121780453708647,0.08144589842736227,20.0,70.0,source_reported_unverified,https://www.marketbeat.com/earnings/reports/2022-10-19-tesla-inc-stock/,https://www.marketbeat.com/earnings/reports/2022-10-19-tesla-inc-stock/,huggingface-ggaddam-finnhub-1m,https://huggingface.co/datasets/ggaddam/OHLCV-1m/blob/main/data/ohlcv_2022-10.parquet,QQQ,cumulative response reverses; cumulative response overshoots
TSLA_Q4_2022,TSLA,Q4 2022,2023-01-25T17:30:00-05:00,24.0,60.0,120.0,180.0,0.009426796256178151,73.52945388054496,-0.002222127282342543,0.027570265009418282,20.0,45.0,source_reported_unverified,https://www.marketbeat.com/earnings/reports/2023-1-25-tesla-inc-stock/,https://www.marketbeat.com/earnings/reports/2023-1-25-tesla-inc-stock/,huggingface-ggaddam-finnhub-1m,https://huggingface.co/datasets/ggaddam/OHLCV-1m/blob/main/data/ohlcv_2023-01.parquet,QQQ,cumulative response reverses; cumulative response overshoots
TSLA_Q2_2023,TSLA,Q2 2023,2023-07-19T17:30:00-04:00,14.0,60.0,540.0,600.0,0.0012326349424733095,562.3296538788119,-0.00201062785841418,0.03566832577513024,20.0,50.0,source_reported_unverified,https://www.marketbeat.com/earnings/reports/2023-7-19-tesla-inc-stock/,https://www.marketbeat.com/earnings/reports/2023-7-19-tesla-inc-stock/,huggingface-ggaddam-finnhub-1m,https://huggingface.co/datasets/ggaddam/OHLCV-1m/blob/main/data/ohlcv_2023-07.parquet,QQQ,cumulative response reverses; cumulative response overshoots
TSLA_Q3_2023,TSLA,Q3 2023,2023-10-18T17:30:00-04:00,15.0,60.0,60.0,180.0,0.0057721395921802475,120.08496494072666,0.003023042943121671,0.024130071427617028,20.0,60.0,source_reported_unverified,https://www.marketbeat.com/earnings/reports/2023-10-18-tesla-inc-stock/,https://www.marketbeat.com/earnings/reports/2023-10-18-tesla-inc-stock/,huggingface-ggaddam-finnhub-1m,https://huggingface.co/datasets/ggaddam/OHLCV-1m/blob/main/data/ohlcv_2023-10.parquet,QQQ,cumulative response reverses; cumulative response overshoots
TSLA_Q4_2023,TSLA,Q4 2023,2024-01-24T17:30:00-05:00,17.0,60.0,120.0,180.0,0.006373849042878769,108.74860322184273,0.0012868992080520834,0.041139876044274604,20.0,35.0,source_reported_unverified,https://www.marketbeat.com/earnings/reports/2024-1-24-tesla-inc-stock/,https://www.marketbeat.com/earnings/reports/2024-1-24-tesla-inc-stock/,huggingface-ggaddam-finnhub-1m,https://huggingface.co/datasets/ggaddam/OHLCV-1m/blob/main/data/ohlcv_2024-01.parquet,QQQ,cumulative response reverses; cumulative response overshoots
TSLA_Q1_2024,TSLA,Q1 2024,2024-04-23T17:30:00-04:00,20.0,60.0,60.0,240.0,0.006890813838646061,100.59003142307179,0.0014817522555560943,0.047983734708018644,20.0,50.0,source_reported_unverified,https://www.marketbeat.com/earnings/reports/2024-4-23-tesla-inc-stock/,https://www.marketbeat.com/earnings/reports/2024-4-23-tesla-inc-stock/,huggingface-ggaddam-finnhub-1m,https://huggingface.co/datasets/ggaddam/OHLCV-1m/blob/main/data/ohlcv_2024-04.parquet,QQQ,cumulative response reverses; cumulative response overshoots
TSLA_Q2_2024,TSLA,Q2 2024,2024-07-23T17:30:00-04:00,11.0,60.0,180.0,180.0,0.008202594719907981,84.50340462118079,0.001542801774717614,0.03574476153628192,20.0,25.0,source_reported_unverified,https://www.marketbeat.com/earnings/reports/2024-7-23-tesla-inc-stock/,https://www.marketbeat.com/earnings/reports/2024-7-23-tesla-inc-stock/,huggingface-ggaddam-finnhub-1m,https://huggingface.co/datasets/ggaddam/OHLCV-1m/blob/main/data/ohlcv_2024-07.parquet,QQQ,cumulative response reverses; cumulative response overshoots
TSLA_Q3_2024,TSLA,Q3 2024,2024-10-23T17:30:00-04:00,16.0,60.0,360.0,660.0,0.0018864037899641252,367.4436959083544,0.0031211985644355386,0.04484278746560377,20.0,85.0,source_reported_unverified,https://www.marketbeat.com/earnings/reports/2024-10-23-tesla-inc-stock/,https://www.marketbeat.com/earnings/reports/2024-10-23-tesla-inc-stock/,huggingface-ggaddam-finnhub-1m,https://huggingface.co/datasets/ggaddam/OHLCV-1m/blob/main/data/ohlcv_2024-10.parquet,QQQ,cumulative response reverses; cumulative response overshoots
TSLA_Q4_2024,TSLA,Q4 2024,2025-01-29T17:30:00-05:00,8.0,60.0,60.0,60.0,0.0032469301839955253,213.47769778868167,-0.004633077698393798,0.12326235677018915,20.0,70.0,source_reported_unverified,https://www.marketbeat.com/earnings/reports/2025-1-29-tesla-inc-stock/,https://www.marketbeat.com/earnings/reports/2025-1-29-tesla-inc-stock/,huggingface-ggaddam-finnhub-1m,https://huggingface.co/datasets/ggaddam/OHLCV-1m/blob/main/data/ohlcv_2025-01.parquet,QQQ,fewer than 10 modeled events; cumulative response reverses; cumulative response overshoots
TSLA_Q1_2025,TSLA,Q1 2025,2025-04-22T17:30:00-04:00,12.0,60.0,60.0,60.0,0.21666379399305025,3.1991832497042805,-0.0015982839195479949,0.10545876425483192,20.0,35.0,source_reported_unverified,https://www.marketbeat.com/earnings/reports/2025-4-22-tesla-inc-stock/,https://www.marketbeat.com/earnings/reports/2025-4-22-tesla-inc-stock/,huggingface-ggaddam-finnhub-1m,https://huggingface.co/datasets/ggaddam/OHLCV-1m/blob/main/data/ohlcv_2025-04.parquet,QQQ,cumulative response reverses; cumulative response overshoots; exponential half-life below price resolution
TSLA_Q2_2025,TSLA,Q2 2025,2025-07-23T17:30:00-04:00,17.0,60.0,120.0,120.0,0.010741317185884442,64.53092936039869,0.002231889795873565,0.06486369805084191,20.0,85.0,source_reported_unverified,https://www.marketbeat.com/earnings/reports/2025-7-23-tesla-inc-stock/,https://www.marketbeat.com/earnings/reports/2025-7-23-tesla-inc-stock/,huggingface-ggaddam-finnhub-1m,https://huggingface.co/datasets/ggaddam/OHLCV-1m/blob/main/data/ohlcv_2025-07.parquet,QQQ,cumulative response reverses; cumulative response overshoots
TSLA_Q3_2025,TSLA,Q3 2025,2025-10-22T17:30:00-04:00,18.0,60.0,420.0,540.0,0.0017809207791611569,389.2071947672086,0.00242124405876971,0.028372728026738403,20.0,45.0,source_reported_unverified,https://www.marketbeat.com/earnings/reports/2025-10-23-tesla-inc-stock/,https://www.marketbeat.com/earnings/reports/2025-10-23-tesla-inc-stock/,huggingface-mito0o852-finnhub-1m,https://huggingface.co/datasets/mito0o852/OHLCV-1m/blob/main/data/ohlcv_2025-10.parquet,QQQ,cumulative response reverses; cumulative response overshoots
TSLA_Q4_2025,TSLA,Q4 2025,2026-01-28T17:30:00-05:00,11.0,60.0,120.0,360.0,0.0017346901007989132,399.57983287084863,0.0017082480679237483,0.04900657665171393,20.0,25.0,source_reported_unverified,https://www.marketbeat.com/earnings/reports/2026-1-28-tesla-inc-stock/,https://www.marketbeat.com/earnings/reports/2026-1-28-tesla-inc-stock/,huggingface-mito0o852-finnhub-1m,https://huggingface.co/datasets/mito0o852/OHLCV-1m/blob/main/data/ohlcv_2026-01.parquet,QQQ,cumulative response reverses; cumulative response overshoots
